amount,merchant,description,label
273.01,Netflix,Meet daughter defense at particularly customer.,normal
37.29,InsuranceCo,Subject particular skill inside our determine.,normal
293.34,Netflix,Computer model property class important beat.,normal
646.36,Starbucks,Pay indicate clearly conference moment.,normal
86.1,LocalMarket,Ahead within culture partner significant less economic.,groceries
318.09,Shell,Head woman work or than.,normal
235.26,Shell,To truth bit raise article edge.,utilities
200.89,InsuranceCo,Head grow short current term.,normal
202.39,Shell,Especially itself total whether citizen some.,utilities
232.47,Netflix,A play offer.,normal
798.53,Shell,Social Democrat opportunity machine.,normal
510.82,Amazon,Always radio reality institution.,normal
19.87,InsuranceCo,Each including process attorney age.,normal
173.45,Walmart,Fund whether half great in degree.,groceries
97.75,LocalMarket,Center camera health sister executive front.,groceries
82.85,Walmart,Market president we improve cause wear candidate.,groceries
231.23,Netflix,Product none eye heavy affect middle sit state.,normal
515.47,Starbucks,Huge message prevent right send approach for.,normal
666.63,InsuranceCo,Front future Democrat view.,normal
663.46,LocalMarket,Subject picture build experience really later meet.,normal
790.65,Netflix,Describe ready training wait mention.,normal
99.33,Shell,Also politics American remain determine budget.,normal
170.04,Shell,Nature success send movement activity beautiful cause.,normal
1483.62,Amazon,Would record could measure challenge office.,fraudulent
199.5,LocalMarket,Mrs Mr once spend whole.,normal
49.94,LocalMarket,Force decision follow off local general.,groceries
160.41,LocalMarket,Candidate what like hospital.,groceries
115.27,Starbucks,Floor structure like adult media soon crime.,entertainment
91.49,LocalMarket,Boy professor once light easy customer whose.,normal
727.56,InsuranceCo,Life country radio when.,normal
119.12,Shell,Option evidence wind night care.,utilities
271.47,LocalMarket,Rich expect need right.,groceries
318.95,Amazon,Population per individual strong down education too head.,normal
359.73,LocalMarket,Describe success career forget director.,normal
92.69,InsuranceCo,Make drop rich example ahead check.,normal
420.55,Shell,Long morning require reality spring student with.,normal
201.88,LocalMarket,Third research kitchen foot himself.,groceries
153.5,Starbucks,Wonder capital necessary organization this space everything.,normal
542.27,LocalMarket,Authority reason thing region station produce.,normal
160.34,Starbucks,Commercial appear test size.,entertainment
2888.59,Amazon,Section kitchen home by include national.,fraudulent
148.14,Starbucks,Serve sing member television do third know.,entertainment
2633.96,Amazon,Ask commercial town property international carry.,fraudulent
583.87,Netflix,Party certain shake eight.,normal
21.86,Netflix,According worry fast.,entertainment
305.41,InsuranceCo,Concern experience large suffer couple professional level.,normal
226.23,LocalMarket,Both investment society agent.,groceries
380.73,Shell,Remain employee yeah it administration although.,utilities
228.87,Netflix,Involve out leave same feeling same.,normal
710.98,Walmart,White than area share treat defense.,normal
280.49,Netflix,East beat actually central station.,normal
281.91,Shell,Part minute financial.,utilities
572.2,Amazon,Issue explain it son development let.,normal
283.52,InsuranceCo,Return present for trip spring.,utilities
232.62,Walmart,Describe claim major.,groceries
148.15,Netflix,Picture almost style take amount change.,entertainment
188.35,Starbucks,Fast item bar imagine part.,normal
13.35,Shell,Organization close cut catch walk director sort.,normal
180.62,Netflix,Study defense job former perform without.,entertainment
1818.06,InsuranceCo,Down decide from with wall.,fraudulent
305.99,Starbucks,Push manager resource country sometimes service kid must.,normal
753.19,Netflix,Certain financial scientist agency energy mother.,normal
724.28,LocalMarket,Then friend democratic.,normal
1157.78,Amazon,Follow computer may age wait Republican minute.,fraudulent
160.72,LocalMarket,Like community lawyer hard be whole why.,groceries
798.23,Starbucks,Clearly year information five reality.,normal
124.92,Walmart,Country report move director tonight forget table.,normal
68.64,LocalMarket,Out daughter finally wonder across thousand amount bar.,groceries
619.71,Walmart,Tax back away hot expect.,normal
303.66,Shell,Have attorney identify discussion.,normal
705.69,InsuranceCo,Key bring box guess common total water anything.,normal
177.21,Walmart,After majority possible how.,normal
73.98,LocalMarket,Strategy whatever treatment black note sit.,groceries
368.76,Shell,Investment skin realize try.,utilities
799.94,Shell,Truth amount question represent born begin.,normal
522.83,Walmart,Exist civil strong friend.,normal
66.3,Shell,Information alone big expect outside.,utilities
115.9,Starbucks,Month field Mr.,entertainment
2871.38,Amazon,Goal behind realize area level yet.,fraudulent
120.81,LocalMarket,Place suggest yes almost day east.,groceries
59.57,Shell,Film behind low director.,normal
87.83,Starbucks,Network north report send.,normal
528.32,Amazon,Scene catch west far statement new their.,normal
229.95,LocalMarket,Bring figure first unit do interview.,normal
5.63,Amazon,Type trade item face radio method artist.,normal
329.45,Shell,After nothing middle stay way.,normal
104.63,LocalMarket,Best even necessary white land.,groceries
617.51,LocalMarket,After surface cause produce style politics.,normal
395.4,Walmart,Manager today necessary peace part ability former.,normal
103.02,LocalMarket,Black may line purpose bill inside management.,normal
34.65,Starbucks,Assume fill head party serve hold.,entertainment
725.03,Amazon,Suggest write mouth.,normal
385.42,InsuranceCo,However American cup ground.,utilities
497.25,Netflix,Training want seem with want just should decade.,normal
348.12,Starbucks,Year argue group class.,normal
119.39,Shell,Occur party theory.,utilities
479.01,Starbucks,Talk late popular little green little we.,normal
412.59,Amazon,Because really between role.,normal
506.53,Shell,Almost manager language decision describe personal.,normal
486.63,Walmart,Place there trial someone town experience.,normal
526.1,Walmart,Else Mrs hear sound son.,normal
471.46,Walmart,Accept education it society usually major.,normal
130.96,Netflix,Spring identify money him he director evidence history.,normal
197.38,LocalMarket,Chance almost serve provide short computer.,groceries
265.2,LocalMarket,Month push interest agree question.,groceries
36.08,Starbucks,Social ahead certain different concern information of conference.,entertainment
163.57,InsuranceCo,Point society by main.,utilities
21.26,Walmart,Single number again view know.,groceries
89.59,LocalMarket,Light what keep mind beyond fight.,normal
51.37,InsuranceCo,About result capital us cover community.,utilities
271.24,LocalMarket,Blood book oil first glass ability quite guy.,normal
371.74,Netflix,Them note once hard.,normal
60.99,Starbucks,Yet letter board majority key.,normal
333.23,Shell,Other expert any ask central yeah increase.,utilities
178.54,Starbucks,Especially day evidence strong official by.,normal
1822.51,InsuranceCo,Address step else rest conference natural assume college.,fraudulent
386.22,Shell,Country past pay into.,normal
294.72,InsuranceCo,Beautiful anyone environment wall teach.,normal
134.02,LocalMarket,Foot parent election go night interview fine.,groceries
170.0,Netflix,Act town meeting.,entertainment
646.6,LocalMarket,Able born officer year member real get avoid.,normal
192.37,Amazon,Pretty end former end step large to.,normal
2125.3,InsuranceCo,Sort professional seem many theory wonder brother.,fraudulent
496.37,Shell,Might TV door myself develop he foot.,normal
317.62,Amazon,Window ability will success.,normal
620.3,Starbucks,Future method about west natural.,normal
355.48,Amazon,Central performance they company stuff always.,normal
375.86,Walmart,For these room some hope.,normal
514.3,Amazon,Car so speak baby make thought current.,normal
400.14,Shell,Brother myself base hard same operation none.,normal
94.9,InsuranceCo,Stock animal during.,utilities
267.71,Amazon,Evidence though discover party.,normal
186.4,LocalMarket,Doctor official field.,normal
377.53,Shell,Current shake front around future majority peace.,normal
492.23,Netflix,Leg people training soon blue allow.,normal
138.95,Walmart,Prove party role win right box.,groceries
254.54,InsuranceCo,Word most road market though type.,utilities
704.88,Walmart,Us article high how state news.,normal
1023.41,Amazon,Allow public month guess.,fraudulent
682.5,Amazon,Possible candidate choose against word.,normal
152.68,InsuranceCo,Later night want care peace method natural.,normal
527.31,Starbucks,Person man rule politics entire point.,normal
277.39,Netflix,Smile activity much our network.,normal
604.01,Amazon,Write environment know decade.,normal
74.43,Netflix,Go quickly cell give.,entertainment
654.1,Walmart,Ok today more present feel case.,normal
498.74,Netflix,Second travel language by minute partner family.,normal
178.03,Netflix,News fire live country growth particular single.,entertainment
55.74,LocalMarket,Make or smile day.,groceries
51.44,Starbucks,Husband art certainly concern language feeling case.,normal
568.96,Starbucks,Thus accept field best.,normal
157.78,Starbucks,None someone mouth under.,normal
208.19,Walmart,Page theory great point development.,groceries
12.1,Starbucks,Thank piece plan score option fact.,normal
707.55,Shell,Quality fight present effort occur mind teacher.,normal
420.46,InsuranceCo,Example green fish standard its buy.,normal
722.27,InsuranceCo,Could people face.,normal
701.01,Walmart,Some TV down wide.,normal
319.03,Amazon,Free campaign agree reveal second.,normal
377.49,Shell,Keep together build director become out go.,normal
146.57,Walmart,Concern store decade subject church political likely.,normal
429.41,LocalMarket,Result work physical meet bag central.,normal
133.77,Netflix,Chance none difference.,entertainment
51.66,Netflix,Dark choose write minute so better often.,entertainment
465.18,LocalMarket,Memory whole whether stuff same somebody very.,normal
469.58,Shell,Close city its hotel close conference.,utilities
617.55,Walmart,Size picture forward success.,normal
47.84,Netflix,Career least hear service.,entertainment
12.62,InsuranceCo,Nearly behind exactly positive why.,normal
62.43,Amazon,When sing measure.,normal
204.14,LocalMarket,School agency box pass during.,groceries
114.77,Netflix,Summer plant source yourself realize smile.,normal
232.99,Netflix,Author center nice return say Mrs.,normal
528.6,LocalMarket,Weight fight natural read ready process.,normal
81.92,Netflix,Film enough work lot bar range give here.,entertainment
390.11,LocalMarket,Everybody performance service.,normal
213.68,LocalMarket,Expect billion adult amount these produce recent.,groceries
398.98,Netflix,He paper international evidence civil product.,normal
434.88,Walmart,Science community growth take require its.,normal
322.41,Shell,Change happen method current.,normal
162.6,Starbucks,All very president suddenly.,entertainment
27.95,Walmart,Exist development account nearly half.,normal
419.27,InsuranceCo,Organization that listen different why call.,utilities
756.76,Starbucks,Personal game mention fall history knowledge red.,normal
387.54,LocalMarket,Bed bank page anyone something second maybe.,normal
298.68,Shell,Again company why behind reality.,normal
218.93,LocalMarket,Old organization center effort.,groceries
125.31,Shell,Physical bag officer on.,normal
633.22,Shell,None lot anyone she.,normal
145.08,Shell,Inside instead study yeah before hot hot.,normal
309.76,Netflix,Though leader create win.,normal
115.32,Starbucks,Yard fill toward parent consider third.,entertainment
585.66,Netflix,So five within lay.,normal
636.64,Walmart,Look society early south TV east world.,normal
395.06,Amazon,Sure memory board human off want risk.,normal
196.35,Starbucks,Life instead fine we act.,normal
326.0,LocalMarket,Manage little second shake.,normal
116.07,InsuranceCo,Property morning truth then last standard character.,normal
376.95,Shell,Citizen miss seat population.,normal
2213.32,InsuranceCo,Mean fund together two blood.,fraudulent
43.04,Walmart,Service fine consumer.,groceries
185.62,Walmart,Watch PM guy produce later loss pay.,groceries
124.28,Starbucks,Girl bar responsibility.,entertainment
773.89,Starbucks,Go drop myself shoulder today.,normal
211.9,Starbucks,Hope which half positive morning hand rise.,normal
20.4,LocalMarket,Business fight country program address.,normal
268.02,InsuranceCo,Race get concern successful will successful financial.,utilities
665.06,Walmart,From president we add low look education.,normal
254.53,LocalMarket,Thought perform house would save pay.,normal
104.7,Walmart,Important when beyond assume myself.,groceries
244.14,Shell,Through information public argue.,utilities
292.7,Walmart,Finally new popular radio enough bed seem.,groceries
355.48,InsuranceCo,Nor buy take for.,normal
11.47,InsuranceCo,Run run view ask middle face.,normal
89.12,Netflix,Soon appear candidate idea husband leader age.,entertainment
2963.27,InsuranceCo,Different example from set drop bit skin.,fraudulent
437.63,Starbucks,Doctor others film then.,normal
539.36,Walmart,School wish camera drug happen.,normal
139.89,Netflix,Mrs again mother reality best low final.,entertainment
242.75,Walmart,Fact ago past decide authority a there growth.,groceries
746.08,Starbucks,Also save general claim out same.,normal
203.19,Starbucks,Quickly can walk enter clear change.,normal
53.64,Netflix,Book art usually talk impact cell drug fall.,entertainment
229.36,InsuranceCo,Law claim which decide.,normal
563.64,LocalMarket,Everything region safe.,normal
23.84,Netflix,Others service peace training marriage development.,entertainment
635.54,InsuranceCo,Record her style give finish sense.,normal
147.86,LocalMarket,Concern fight food financial.,groceries
641.04,Starbucks,Hot design consumer.,normal
181.79,Netflix,Water consider alone think what foot executive.,entertainment
213.52,LocalMarket,Defense west standard mention use do.,groceries
258.11,Walmart,Meeting small police before under home get talk.,groceries
173.56,Walmart,Degree international father alone town.,normal
685.26,LocalMarket,Race last point day tonight message administration.,normal
568.79,Netflix,Store box young true indicate activity pull despite.,normal
222.58,Shell,Remember more purpose school black.,utilities
667.86,Shell,Might eye lose avoid wrong page.,normal
622.77,Amazon,Catch history however station side argue.,normal
605.75,InsuranceCo,Trade health pressure.,normal
124.39,LocalMarket,Executive itself turn need.,normal
595.55,InsuranceCo,Perhaps be production scientist.,normal
454.12,InsuranceCo,Term happen moment.,normal
102.57,Netflix,Mother agreement if.,normal
792.45,LocalMarket,Chance society benefit officer state fish plant.,normal
228.63,Starbucks,Spring position rate detail more.,normal
145.94,Walmart,Subject work degree require us specific product tree.,groceries
732.69,Walmart,Eye more both TV ball agree.,normal
772.84,Shell,Financial appear early kid during.,normal
519.43,InsuranceCo,Cut way between anyone sit positive.,normal
129.24,Amazon,Task since only wife deal.,normal
1772.9,InsuranceCo,Much shake hold foot work.,fraudulent
496.65,LocalMarket,Protect peace leg understand customer.,normal
395.78,Netflix,Us list southern main sign rate usually.,normal
276.54,Shell,Increase really save above society even whatever.,normal
318.17,LocalMarket,Seat court table between less event arrive friend.,normal
527.05,Netflix,Believe according recognize.,normal
323.7,Amazon,Price room often care region.,normal
394.67,Walmart,Worker much gas rate thing chance.,normal
273.23,Shell,Another if ever mouth we analysis.,normal
21.74,Amazon,Stop face interesting whom national since which hope.,normal
1713.9,Amazon,Energy over serve bar others realize.,fraudulent
1342.75,InsuranceCo,That although wait.,fraudulent
352.59,Starbucks,Senior movement side speech tend red.,normal
446.3,Shell,Small though difficult surface parent magazine wish.,normal
344.21,Netflix,Also blue open occur.,normal
126.87,Walmart,Price compare better concern.,groceries
91.02,Starbucks,Require board sit thus once data officer development.,entertainment
170.48,Shell,Meet common leader.,normal
35.6,Netflix,Condition account oil enjoy cold inside none.,entertainment
341.3,Amazon,Draw general once.,normal
56.05,Netflix,Its turn also manage enter.,normal
135.24,Starbucks,Near enjoy well through matter lose church.,entertainment
474.78,Shell,Finally always radio certainly chair art.,normal
574.1,Shell,Movie next base first.,normal
272.61,Amazon,Care north Republican hope take.,normal
240.75,Amazon,Push this grow military event too.,normal
185.05,Netflix,Move represent great very.,normal
154.01,Shell,All yet understand message operation himself size.,normal
179.26,Netflix,Situation write strategy small serious rest way.,entertainment
219.97,Walmart,Address student charge whether.,groceries
536.21,Amazon,Believe share responsibility put people happy bring.,normal
273.2,Starbucks,Audience perform rate three.,normal
655.16,Amazon,Magazine focus opportunity down your response picture.,normal
166.79,Amazon,Week decade place side ahead like and.,normal
85.56,Walmart,Realize personal popular doctor provide resource.,groceries
406.33,Netflix,Move among quite must kid theory Republican.,normal
424.32,InsuranceCo,Total possible own perhaps candidate.,normal
24.33,Walmart,Light available meeting government thus our.,normal
659.7,InsuranceCo,Country test others player trade occur team.,normal
504.36,Netflix,Sport field company step especially house.,normal
210.5,Netflix,Alone call article east occur young as.,normal
270.35,Netflix,Just they well money can.,normal
49.28,LocalMarket,Moment benefit choice.,normal
173.54,Walmart,Order draw lot turn finish.,groceries
749.07,Shell,Either assume increase develop.,normal
704.48,LocalMarket,Teach major everything despite serve.,normal
231.41,InsuranceCo,White coach weight attention company dog democratic.,normal
141.61,Walmart,Successful laugh style best seven both rich.,groceries
106.15,Walmart,Purpose fight sound avoid pass teach.,groceries
528.73,Walmart,Drug training current dinner claim bag message with.,normal
575.21,Starbucks,Call people break religious month yes well.,normal
61.9,Starbucks,Coach agency worker dream little.,entertainment
346.33,Starbucks,Money again individual maybe really.,normal
99.28,LocalMarket,Democrat push kitchen ahead.,normal
62.81,LocalMarket,Reflect describe mention less.,normal
492.29,InsuranceCo,Bit her something design book.,normal
773.3,Walmart,Measure man order else hard arrive safe.,normal
60.09,Starbucks,Four rock land unit owner.,entertainment
99.38,Netflix,Catch eye head able.,entertainment
624.44,Netflix,Cultural carry certain son feeling leg senior.,normal
1975.87,Amazon,Huge art successful agent street very.,fraudulent
402.21,Walmart,Population card collection accept finally.,normal
412.07,Shell,Happy western run fast money.,normal
310.31,Netflix,Check item painting environmental.,normal
128.15,Walmart,Character thing success news lose drug effort.,groceries
123.52,Shell,Whose nation citizen town describe approach they.,utilities
128.62,LocalMarket,Financial prove safe stop.,groceries
687.37,Walmart,Shake least challenge any.,normal
321.29,Shell,Open nothing trial simply create.,utilities
297.12,LocalMarket,Head throughout last show draw security firm.,groceries
543.94,InsuranceCo,Everybody season consider young wall.,normal
228.1,Walmart,Model law travel.,normal
407.12,InsuranceCo,Produce hear Democrat name present response point.,utilities
74.28,Amazon,Loss newspaper Mrs.,normal
184.71,Shell,Kind answer history thus get day.,normal
2782.07,Amazon,On every business two cost consider ever.,fraudulent
121.29,LocalMarket,Name result wide girl American.,groceries
173.23,Amazon,Pull thought oil receive.,normal
275.34,Starbucks,Management pick number rather wall box.,normal
483.26,InsuranceCo,Them million subject throw tough.,normal
102.44,Starbucks,Especially world goal notice owner.,normal
683.88,Netflix,Today rule ability.,normal
115.84,Walmart,Writer significant near stock.,normal
496.7,Shell,Age party least strong care.,normal
465.9,LocalMarket,Born give economy level last.,normal
295.89,InsuranceCo,Final decision listen local shake leave reality long.,normal
74.63,Netflix,Every reflect physical surface whatever service husband since.,normal
453.4,InsuranceCo,Eye kitchen our according and visit brother.,normal
441.6,Amazon,Develop fall step.,normal
202.33,LocalMarket,Maintain garden choice where beautiful art.,groceries
2025.49,InsuranceCo,Policy decide author language hot population.,fraudulent
744.38,Netflix,Think among energy including discuss turn beyond often.,normal
25.05,Starbucks,Show seat rather way hard radio.,entertainment
120.98,Netflix,Name measure attorney.,normal
2604.75,InsuranceCo,Speech executive result bad.,fraudulent
487.82,Walmart,Forward later occur else prepare that near.,normal
458.5,InsuranceCo,Report create box lead radio civil.,utilities
96.72,Starbucks,Ball particularly final sister toward arrive.,entertainment
28.04,InsuranceCo,Vote production play enjoy maybe entire public exactly.,normal
161.5,Netflix,Assume sound down use view late.,entertainment
156.57,InsuranceCo,Act detail same kind.,utilities
170.42,LocalMarket,Huge base draw free dream.,normal
47.56,LocalMarket,Should country themselves civil.,groceries
70.66,Starbucks,Clear generation world morning increase its need think.,entertainment
289.25,Amazon,Scene collection trial.,normal
223.92,Amazon,Keep expert buy night but piece.,normal
255.31,LocalMarket,President market bit.,groceries
246.9,Walmart,Street speech window culture most little official.,normal
434.11,Netflix,Few statement assume here.,normal
338.18,Amazon,Maybe pressure participant we go appear.,normal
6.77,Starbucks,Worker poor discuss.,entertainment
253.34,Walmart,Claim compare space store anyone child end.,groceries
315.61,LocalMarket,Shoulder fight surface.,normal
525.32,Walmart,School evening network voice trial several skill.,normal
633.85,Shell,Find power clear office free seven.,normal
614.47,Shell,Water role fact usually information.,normal
189.42,InsuranceCo,International hold foreign senior letter.,normal
486.0,Walmart,Ten authority short bed thus specific memory.,normal
80.17,Netflix,Step vote sing many then.,entertainment
19.72,Shell,More office event represent weight environment.,normal
286.12,LocalMarket,Inside before what site choose particular.,groceries
98.93,Netflix,Fire attention both.,entertainment
74.89,Shell,Ready area case peace reveal rise teach.,utilities
178.02,Starbucks,Against treat cause cultural serve system.,entertainment
167.31,Shell,Energy challenge set activity hold hold natural.,utilities
587.37,Shell,Perhaps situation expert such nation.,normal
516.73,Netflix,Though now attack technology.,normal
27.77,LocalMarket,Recently trip size right policy mouth show.,groceries
23.98,Amazon,Join maybe growth toward anyone evidence.,normal
218.18,LocalMarket,Much can pass.,normal
458.14,Amazon,Least cultural win cold establish population pick.,normal
614.34,Walmart,Use art officer series offer.,normal
209.74,InsuranceCo,Place brother difference treat agreement five second end.,utilities
279.62,Walmart,Later late structure.,groceries
130.21,Shell,Whole under quickly.,normal
227.99,Amazon,Especially attack structure.,normal
2405.85,Amazon,Business report answer why physical.,fraudulent
164.6,InsuranceCo,But source magazine along.,normal
237.71,Walmart,Evening executive threat end car hospital.,normal
621.26,Shell,Learn those thing.,normal
353.76,InsuranceCo,Approach write scientist system trial.,utilities
49.92,Netflix,Main be report draw.,entertainment
34.59,Walmart,Great them air cover rest father politics compare.,groceries
116.04,InsuranceCo,Run figure hit operation ten operation significant.,normal
762.81,Amazon,Year word growth environmental where.,normal
257.63,Netflix,Prove leave other certain foreign guy option.,normal
218.59,Starbucks,Or store industry.,normal
87.83,LocalMarket,Own blood third eye.,groceries
104.39,InsuranceCo,History look window share our white strategy.,utilities
389.31,Starbucks,Lay effort let budget take back fear recently.,normal
158.16,LocalMarket,Free yourself card.,groceries
206.71,InsuranceCo,Himself decide raise campaign heart.,normal
214.64,Walmart,He court current board early writer tend.,normal
230.49,Shell,West serious event seat.,normal
300.32,Starbucks,Positive defense although family include.,normal
509.03,Walmart,Participant fish difficult full safe fund.,normal
159.7,LocalMarket,Service number performance boy.,groceries
684.25,LocalMarket,Service not bill improve article worker fall.,normal
139.75,InsuranceCo,Defense spring before song character participant.,normal
104.59,Starbucks,Public environmental usually against real listen.,normal
574.42,Amazon,Create ten lead meet season form.,normal
188.42,LocalMarket,Decide Democrat less wonder into push.,groceries
1505.42,InsuranceCo,House often student.,fraudulent
383.95,Netflix,Personal day myself before be.,normal
138.36,Starbucks,Employee glass once agent want begin.,entertainment
460.0,Starbucks,Road organization away mind small standard.,normal
669.93,LocalMarket,Lay development nature threat policy.,normal
2461.47,Amazon,Score without once.,fraudulent
519.8,Amazon,Part senior system democratic.,normal
407.73,InsuranceCo,Account read action case society network too subject.,utilities
157.93,Netflix,Own why up special heart tax skin.,normal
139.35,Walmart,Clearly again already well defense.,normal
30.03,Starbucks,Finish likely order quality.,entertainment
455.95,InsuranceCo,Network stuff outside adult so pretty court.,normal
31.29,Netflix,Body question source yourself only.,normal
378.21,Shell,Film low special number.,normal
164.69,Walmart,Note indeed less middle company challenge.,groceries
187.37,Walmart,Middle around take future side amount bank hour.,normal
245.38,LocalMarket,Democrat evidence eat stand nor stand.,normal
265.55,LocalMarket,Enter road concern subject check only worker.,groceries
453.33,Starbucks,Low man event really movie indicate.,normal
7.1,Amazon,Wish doctor result performance.,normal
219.32,InsuranceCo,Citizen send meeting plan.,normal
109.74,Shell,But catch when onto other.,normal
698.25,Starbucks,Well provide soon big build.,normal
8.1,LocalMarket,Blood hair everybody rock everybody last keep.,normal
124.51,LocalMarket,History conference activity general possible interesting.,groceries
73.18,Shell,Family challenge pattern way.,normal
371.44,Netflix,Across that democratic.,normal
729.2,Amazon,Board later hotel account live.,normal
357.26,Netflix,Far especially certain every note so stay.,normal
35.21,Starbucks,Stay peace theory.,entertainment
513.91,Starbucks,Industry message believe political event.,normal
647.56,Walmart,Only quickly still.,normal
46.77,Netflix,Final fire law grow short.,entertainment
481.58,Shell,Type message defense reveal.,normal
657.2,Netflix,Agreement media me serious magazine ball both different.,normal
29.59,LocalMarket,Idea suggest similar be almost yet technology.,groceries
501.46,LocalMarket,Side reality include force song kind exist.,normal
466.72,Walmart,Even son wish society mother address important feeling.,normal
1770.52,InsuranceCo,Cell I international.,fraudulent
543.46,Walmart,Choose well step notice history director.,normal
127.92,Shell,Reflect region heart sister party.,normal
580.53,InsuranceCo,Can north family final allow.,normal
454.99,LocalMarket,Indicate cost ten.,normal
227.17,InsuranceCo,Expect hope it at.,normal
274.79,InsuranceCo,Involve choice fund result see language.,normal
109.22,Netflix,Song check opportunity win really name.,entertainment
516.53,Amazon,Near find would community.,normal
667.23,Amazon,Threat big ok American.,normal
196.84,InsuranceCo,Throughout some light few type true address.,normal
43.91,Walmart,Offer success decide attack however condition population.,normal
274.11,Walmart,Bar maybe grow structure someone clearly.,groceries
715.15,Walmart,Treat health allow.,normal
688.0,Amazon,According speech fund because page hour.,normal
2078.9,InsuranceCo,Though boy student majority technology once.,fraudulent
753.09,LocalMarket,Upon budget small.,normal
132.64,Starbucks,Major up student same.,entertainment
70.47,Shell,Consumer later really attack.,utilities
33.31,Amazon,Despite growth quickly thing message security manager.,normal
1263.35,InsuranceCo,Perhaps successful early miss turn ground.,fraudulent
300.7,LocalMarket,Service approach or final sell.,normal
198.37,LocalMarket,Player shake here beat foreign southern your.,groceries
244.51,LocalMarket,Place hospital room response recent.,groceries
219.23,Netflix,End strategy institution Republican several through.,normal
42.32,LocalMarket,Leader project risk service.,groceries
2669.01,InsuranceCo,Another better alone car cell.,fraudulent
49.94,Starbucks,Establish house popular feel.,normal
693.43,Amazon,Plan six tough official relate game national.,normal
20.23,Starbucks,Suggest town employee perhaps force above term.,normal
76.29,Netflix,Worry along general fund society happy reality.,entertainment
324.81,Shell,Now cost physical.,utilities
548.08,Shell,Wonder federal true bar now accept.,normal
626.0,Netflix,Short top doctor blood street.,normal
400.97,InsuranceCo,Fish same line happy table.,normal
793.11,InsuranceCo,Early minute south reflect seem.,normal
613.25,Amazon,Region peace son focus might risk until position.,normal
515.49,Amazon,Just candidate ok continue deal next quickly economy.,normal
194.53,LocalMarket,Free well provide.,normal
149.51,Walmart,Pay city whether rate.,groceries
124.05,Starbucks,Man movement ground wife.,entertainment
166.99,Amazon,Maintain unit situation fire.,normal
126.1,Walmart,Space share fast prove know lead.,groceries
115.49,Shell,Bag second my impact teacher upon account.,utilities
586.17,LocalMarket,Positive source nor box important total picture including.,normal
178.26,Starbucks,Though unit face over official detail opportunity.,entertainment
41.85,Starbucks,Care three may often drop program minute.,normal
210.49,Walmart,Financial sort any bring these special knowledge leave.,normal
123.05,Starbucks,Contain exactly owner strong president.,entertainment
164.37,Shell,Onto unit though character my.,normal
701.02,Shell,Fear goal understand back final region.,normal
111.81,LocalMarket,Spend class subject dinner white food wall.,normal
510.64,Shell,Thing threat leader Mrs serious total.,normal
358.49,LocalMarket,Contain focus both over life weight bag.,normal
721.59,InsuranceCo,Hold nor point government buy.,normal
277.57,Walmart,Reach despite main rock public.,groceries
172.21,InsuranceCo,Mention report glass upon development.,utilities
698.61,InsuranceCo,Exactly never only front.,normal
116.72,Netflix,Structure remember reach election student suggest crime.,normal
70.11,InsuranceCo,Probably space threat.,normal
628.29,Amazon,Avoid choose future.,normal
340.51,Netflix,From growth rate shoulder be the.,normal
226.82,LocalMarket,Song also maintain quite energy officer then.,normal
457.81,Shell,Event report never bill put.,utilities
279.29,Walmart,Current side economy point appear back.,groceries
522.8,Walmart,Represent generation president base present.,normal
677.66,Starbucks,Culture level fish officer.,normal
310.86,Shell,Guess but great claim gun southern church.,normal
199.16,Starbucks,Listen huge sit social find.,entertainment
70.34,InsuranceCo,Between clearly language.,normal
318.83,LocalMarket,Than behavior raise thus as.,normal
86.53,Walmart,Science spring huge into create each.,groceries
399.83,InsuranceCo,Sound try month wish blue.,normal
107.36,Walmart,Indicate alone others clearly attention still level.,groceries
104.66,Starbucks,Read account finish before.,entertainment
235.31,LocalMarket,New reality Mrs that.,groceries
49.15,Amazon,Tax support despite continue difficult military foot.,normal
296.93,InsuranceCo,Head skin key begin soon development present.,normal
528.13,Starbucks,Exactly how right authority affect sure.,normal
1721.68,Amazon,Including education writer toward avoid.,fraudulent
703.56,Amazon,Indicate adult hair across.,normal
366.53,Shell,Get type although father administration piece hit painting.,normal
114.56,Walmart,Second together find floor.,groceries
734.45,Amazon,Play could affect room bit environment score.,normal
153.44,LocalMarket,Hear buy according agreement under rich analysis.,groceries
607.69,InsuranceCo,Sometimes state each finish.,normal
473.83,Walmart,Girl poor move better game career.,normal
150.78,Netflix,Protect six everybody you.,entertainment
238.28,InsuranceCo,Later class anyone office no knowledge administration.,normal
527.66,Shell,Option discussion worry change.,normal
775.73,Starbucks,Draw beyond recognize blood describe.,normal
156.11,LocalMarket,Serve actually production consider phone open feeling.,groceries
518.46,Starbucks,Happy skin visit late scientist.,normal
540.15,Netflix,Use bit enjoy forward training sit kitchen choose.,normal
164.55,Netflix,Store who goal movement.,normal
274.78,Amazon,Nice occur pass force blood add hotel.,normal
603.73,LocalMarket,Enjoy hospital dog mind himself believe reflect.,normal
155.47,Starbucks,Difficult nor data daughter sort.,entertainment
403.87,Shell,Leave piece weight if.,utilities
274.96,Walmart,Lead evening continue establish.,groceries
369.37,Starbucks,Deep director site hair know prove.,normal
2214.72,InsuranceCo,Region program color opportunity toward.,fraudulent
180.45,Shell,Series right husband opportunity recently yet ground.,normal
